state,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,pop,deaths,cases,cases_per_capita,deaths_per_capita,death_rate,dcases,ddeaths
Alabama,2020-02-15,5.0,2.0,39.0,7.0,2.0,-1.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-16,0.0,-2.0,-7.0,3.0,-1.0,1.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-17,3.0,0.0,17.0,7.0,-17.0,4.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-18,-4.0,-3.0,-11.0,-1.0,1.0,2.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-19,4.0,1.0,6.0,4.0,1.0,0.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-20,-7.0,-6.0,-25.0,-1.0,0.0,3.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-21,3.0,0.0,12.0,9.0,1.0,0.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-22,5.0,4.0,46.0,13.0,6.0,-1.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-23,3.0,2.0,24.0,16.0,2.0,0.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-24,-2.0,-3.0,-13.0,2.0,-2.0,2.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-25,7.0,3.0,27.0,7.0,-1.0,0.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-26,16.0,5.0,7.0,11.0,0.0,-1.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-27,12.0,6.0,14.0,9.0,2.0,-1.0,4903185,0,0,0.0,0.0,,0.0,0.0
Alabama,2020-02-28,12.0,6.0,20.0,10.0,1.0,-1.0,4903185,0,0,0.0,0.0,,0.0,0.0
